C101,25,0,0.0,3310, 974
C101,25,1,0.25,3280, 968
C101,25,1,0.5,3270, 965
C101,25,3,0.25,3280, 968
C101,25,3,0.5,3270, 965
C101,25,5,0.25,3280, 968
C101,25,5,0.5,3270, 965
C102,25,0,0.0,4750, 2576
C102,25,1,0.25,4720, 2570
C102,25,1,0.5,4710, 2567
C102,25,3,0.25,4720, 2570
C102,25,3,0.5,4710, 2567
C102,25,5,0.25,4720, 2570
C102,25,5,0.5,4710, 2567
C103,25,0,0.0,5690, 3961
C103,25,1,0.25,5680, 3959
C103,25,1,0.5,5670, 3956
C103,25,3,0.25,5680, 3959
C103,25,3,0.5,5670, 3956
C103,25,5,0.25,5680, 3959
C103,25,5,0.5,5670, 3956
C104,25,0,0.0,6040, 4784
C104,25,1,0.25,6030, 4782
C104,25,1,0.5,6030, 4782
C104,25,3,0.25,6030, 4782
C104,25,3,0.5,6030, 4782
C104,25,5,0.25,6030, 4782
C104,25,5,0.5,6030, 4782
C105,25,0,0.0,3560, 1295
C105,25,1,0.25,3540, 1288
C105,25,1,0.5,3520, 1280
C105,25,3,0.25,3540, 1288
C105,25,3,0.5,3520, 1280
C105,25,5,0.25,3540, 1288
C105,25,5,0.5,3520, 1280
C106,25,0,0.0,3330, 997
C106,25,1,0.25,3290, 986
C106,25,1,0.5,3290, 986
C106,25,3,0.25,3290, 986
C106,25,3,0.5,3290, 986
C106,25,5,0.25,3290, 986
C106,25,5,0.5,3290, 986
C107,25,0,0.0,3790, 1638
C107,25,1,0.25,3780, 1636
C107,25,1,0.5,3780, 1636
C107,25,3,0.25,3780, 1636
C107,25,3,0.5,3780, 1636
C107,25,5,0.25,3780, 1636
C107,25,5,0.5,3780, 1636
C108,25,0,0.0,4320, 2091
C108,25,1,0.25,4310, 2086
C108,25,1,0.5,4270, 2074
C108,25,3,0.25,4310, 2086
C108,25,3,0.5,4270, 2074
C108,25,5,0.25,4310, 2086
C108,25,5,0.5,4270, 2074
C109,25,0,0.0,4820, 2613
C109,25,1,0.25,4810, 2607
C109,25,1,0.5,4810, 2607
C109,25,3,0.25,4810, 2607
C109,25,3,0.5,4810, 2607
C109,25,5,0.25,4810, 2607
